Place_Id,Place_Name,Description,Category,City,Price,Rating,Time_Minutes,Coordinate,Lat,Long,,
1,Pantai Nampu,"Pantai Nampu adalah objek wisata pantai yang berada di pesisir selatan Kabupaten Wonogiri, Jawa Tengah. Sebuah Pantai yang terletak didusun Dringo, desa Kecamatan Paranggupito, Kabupaten Wonogiri ini menjadi destinasi wisata bagi warga setempat maupun mancanegara.",Wisata Bahari,Wonogiri,5000,4.5,129,"{'lat': -8.19960, 'lng': 110.90042}","-8,199,060","110,900,042",,1
2,Pantai Pulau Panjang,"Pulau Panjang menjadi salah satu tempat wisata yang sedang hits dan viral di Kabupaten Jepara dengan pesona keindahannya. Sering di sebut Karimunjawa mini dengan budget yang jauh lebih terjangkau, wisata alam Pulau Panjang Jepara selalu ramai akan wisatawan.",Wisata Bahari,Jepara,5000,4.5,15,"{'lat': -5.51725, 'lng': 106.52147}","-5,517,025","106,521,047",,2
3,Pantai Bandengan,"Pantai Tirto Samudro atau Pantai Klein Scheveningen atau yang dikenal oleh masyarakat umum dengan sebutan Pantai Bandengan adalah pantai yang terletak 7 km sebelah utara dari pusat kota Jepara, Jawa Tengah. Pantai berpasir putih ini banyak dikunjungi untuk melihat matahari terbit dan matahari terbenam.",Wisata Bahari,Jepara,10000,4.4,20,"{'lat': -6.55406, 'lng': 110.64872}","-6,554,006","110,648,072",,3
4,Pantai Karang Bolong ,"Karangbolong Pada awalnya, pantai yang berada di ruas jalan utama Anyer-Carita ini dikenal dengan nama Pantai Karang Suraga. Nama ini diambil dari Suryadilaga, nama orang sakti mandraguna pada zaman dahulu yang bertapa di tempat ini hingga akhir hayatnya. ",Wisata Bahari,Kebumen,15000,4.3,30,"{'lat': -7.758035, 'lng': 109.467794}","-7,758,035","109,467,794",,4
5,Pantai Bopong,Pantai Bopong menjadi tempat piknik di Kebumen Jawa Tengah dengan sajian alam mempesona. Tempat wisata Kebumen yang cocok untuk liburan bersama keluarga ketika akhir pekan tiba. ,Wisata Bahari,Kebumen,5000,4.1,45,"{'lat': -7.76296, 'lng': 109.51781}","-7,762,096","109,517,081",,5
6,Pantai Pecaron,Pantai Pecaron merupakan salah satu tempat wisata di Kebumen Jawa Tengah yang menyimpan banyak keindahan menakjubkan. Kabupaten Kebumen sendiri memang terkenal dengan banyaknya wisata Pantai rekomended untuk di eksplorasi saat momen rekreasi.,Wisata Bahari,Kebumen,5000,4.5,25,"{'lat': -7.77029, 'lng': 109.42003}","-7,770,029","109,420,003",,6
7,Pantai Menganti,"Pantai Menganti merupakan sebuah pantai yang berlokasi di Desa Karangduwur, Kecamatan Ayah, Kabupaten Kebumen, Jawa Tengah. Pantai ini merupakan salah satu pantai terindah di Jawa Tengah. Pasir pantainya yang berwarna putih serta terdapat panorama perbukitan juga tebing karst yang indah.",Wisata Bahari,Kebumen,10000,4.6,15,"{'lat': -7.77002, 'lng': 109.41299}","-7,770,002","109,412,099",,7
8,Pantai Karang Jahe,"Pantai Karang Jahe adalah objek wisata alam berupa pantai yang berpasir putih yang terletak di desa Punjulharjo, Kecamatan Rembang, Kabupaten Rembang, Provinsi Jawa Tengah, Indonesia.",Wisata Bahari,Rembang,5000,4.3,10,"{'lat': -6.68706, 'lng': 111.41196}","-6,687,006","111,411,096",,8
9,Dataran Tinggi Dieng ,"Dataran Tinggi Dieng atau Plato Dieng adalah sebuah wilayah di pusat Jawa Tengah yang memiliki ciri geologi, sejarah, dan pertanian yang dinilai khas. Dataran ini diapit oleh jajaran perbukitan di sisi utara dan selatannya, yang berasal dari aktivitas vulkanik yang sama dan disebut Pegunungan Dieng.",Wisata Alam,Wonosobo,15000,4.6,90,"{'lat': -7.21438, 'lng': 109.89946}","-7,214,038","109,899,046",,9
10,Kawasan Wisata Baturraden,"Baturraden adalah sebuah kecamatan di Kabupaten Banyumas, Provinsi Jawa Tengah, Indonesia. Kecamatan ini berjarak sekitar 7,5 Km dari Kota Purwokerto ke arah utara. Pusat pemerintahannya berada di Desa Rempoah. Kecamatan ini terletak di lereng selatan Gunung Slamet dan merupakan kawasan wisata.",Wisata Alam,Banyumas,14000,4.5,60,"{'lat': -7.29625, 'lng': 109.21710}","-7,296,025","109,217,010",,10
11,Taman Nasional Gunung Merbabu,"Taman Nasional Gunung Merbabu merupakan taman nasional yang mencakup kawasan hutan di Gunung Merbabu. Secara administratif, taman nasional ini termasuk ke dalam wilayah 3 kabupaten yaitu Kabupaten Boyolali, Kabupaten Magelang, dan Kabupaten Semarang, provinsi Jawa Tengah.",Wisata Alam,Salatiga,150000,4.7,90,"{'lat': -7.43615, 'lng': 110.43710}","-7,436,015","110,437,010",,11
12,Punthuk Setumbu,"Punthuk Setumbu merupakan sebuah bukit yang memiliki panorama alam yang indah, serta udara yang menyejukan. Adapun tempat wisata di dekat Punthuk Setumbu yang sangat terkenal adalah Candi Borobudur.",Wisata Alam,Magelang,15000,4.5,45,"{'lat': -7.60911, 'lng': 110.17779}","-7,609,011","110,177,079",,12
13,Rafting Sungai Progo,"Sungai progo bawah adalah Salah satu sungai yang menawarkan pengalaman rafting sensasional dan spektakuler. Bagi anda yang ingin merasakan arung jeram ini, anda diharuskan memiliki qualifikasi berumur di atas 17 tahun, dibawah umur tersebut kami tidak merekomendasikan.",Wisata Alam,Magelang,1200000,4.4,30,"{'lat': -7.57736, 'lng': 110.22318}","-7,577,036","110,223,018",,13
14,Ketep Pass,"Ketep Pass adalah nama sebuah objek wisata di Ketep, Sawangan, Magelang, Jawa Tengah. Ketep Pass ini merupakan objek wisata alam yang dikembangkan dengan ciri khas wisata kegunungapian, khususnya Gunung Merapi.",Wisata Alam,Magelang,10500,4.4,20,"{'lat': -7.49417, 'lng': 110.38158}","-7,494,017","110,381,058",,14
15,Grojogan Sewu,"Grojogan Sewu merupakan air terjun yang berada di Provinsi Jawa Tengah.Terletak di Kecamatan Tawangmangu, Kabupaten Karanganyar, Jawa Tengah. Air terjun Grojogan Sewu terletak di lereng Gunung Lawu. Grojogan Sewu terletak sekitar 27 km di sebelah timur Kota Karanganyar. ",Wisata Alam,Tawangmangu,22000,4.5,20,"{'lat': -7.66058, 'lng': 111.13080}","-7,660,058","111,130,080",,15
16,Taman Wisata Air Panas Guci,Pemandian Air Panas Guci adalah destinasi wisata paling populer di kabupaten Tegal. Letaknya berada di kaki Gunung Slamet. Kawasan Wisata Guci ini menyediakan air hangat alami dari perut bumi serta udara sejuk pegunungan.,Wisata Alam,Tegal,20000,4.5,45,"{'lat': -7.19016, 'lng': 109.16350}","-7,190,016","109,163,050",,16
17,Umbul Ponggok,"Umbul Ponggok merupakan wisata air yang terletak di desa Ponggok, Klaten, Jawa Tengah. Umbul Ponggok merupakan mata air yang dimanfaatkan menjadi objek wisata, pemandian dan selam permukaan.",Wisata Alam,Klaten,10000,4.4,25,"{'lat': -7.61374, 'lng': 110.63585}","-7,613,074","110,635,085",,17
18,River Boarding Kali Pusur,Wisata Riverboarding di Kali Pusur merupakan melakukan river boarding di Sungai Pusur. Aliran sungai yang banyak batunya menjadikan tantangan tersendiri bagi para pengunjung. ,Wisata Alam,Klaten,45000,4.4,35,"{'lat': -7.60541, 'lng': 110.66313}","-7,605,041","110,663,013",,18
19,Goa Petruk,"Gua Petruk adalah sebuah situs geologi yang terbentuk dari proses alamiah di Kawasan Karst Gombong Selatan yang terletak di Dusun Mandayana, Desa Candirenggo, Kecamatan Ayah, Kabupaten Kebumen, Provinsi Jawa Tengah, Indonesia.",Wisata Alam,Kebumen,10000,4.5,10,"{'lat': -7.70291, 'lng': 109.39817}","-7,702,091","109,398,017",,19
20,Umbul Sidomukti,"Kawasan wisata umbul Sidomukti merupakan salah satu Wisata Alam Pegunungan di Semarang, berada di Desa Sidomukti Kecamatan Bandungan Kabupaten Semarang. Kawasan wisata ini dengan didukung fasiltas & Servis: Outbond Training, Adrenalin Games, Taman Renang Alam, Camping Ground, Pondok Wisata, Pondok Lesehan, serta Meeting Room.",Wisata Alam,Semarang,10000,4.5,45,"{'lat': -7.19439, 'lng': 110.37343}","-7,194,039","110,373,043",,20
21,Hutan Pinus Kayon,Hutan pinus yang terkenal di Semarang adalah hutan pinus kayon yang merupakan hutan pinus dengan panorama yang yang begitu indah dan terlihat begitu asli dan begitu asri.,Wisata Alam,Semarang,6000,4.4,30,"{'lat': -7.39471, 'lng': 110.45180}","-7,394,071","110,451,080",,21
22,Kawasan Wisata Colo,"Objek Wisata Colo merupakan salah satu wisata  unggulan di Kabupaten Kudus. Objek tersebut menawarkan dua jenis wisata, yaitu wisata religi dan wisata alam. Keberadaanya telah terbukti mampu menyumbangkan Pendapatan Asli Daerah (PAD) terbesar dari sektor pariwisata.",Wisata Alam,Kudus,15000,4.4,15,"{'lat': -6.66188, 'lng': 110.90548}","-6,661,088","110,905,048",,22
23,Telaga Sunyi,"Telaga Sunyi bersumber dari mata air Gunung Slamet. Airnya begitu jernih dan sejuk, sampai warnanya terlihat kebiruan. Bagian dasar kolam sedalam lima meter pun bisa terlihat jelas dengan mata telanjang.",Wisata Alam,Purwokerto,13000,4.5,20,"{'lat': -7.30693, 'lng': 109.24316} ","-7,306,093","109,243,016",,23
24,Puri Maerokoco,"Telaga Sunyi bersumber dari mata air Gunung Slamet. Airnya begitu jernih dan sejuk, sampai warnanya terlihat kebiruan. Bagian dasar kolam sedalam lima meter pun bisa terlihat jelas dengan mata telanjang.",Wisata Alam,Semarang,10000,4.4,15,"{'lat': -6.96023, 'lng': 110.38636}","-6,960,023","110,386,036",,24
25,Desa Wisata Budaya Tanon,"Desa Wisata Tanon biasa juga disebut Desa Menari, berada kurang lebih satu jam perjalanan dari pusat Kabupaten Semarang. Desa yang terletak di Dusun Tanon, Kabupaten Semarang ini disebut Desa Menari karena dikenal sudah desa menari karena penduduknya suka menari dan telah memiliki jiwa seni sejak dulu. Saat berkunjung ke Desa Wisata Tanon pun, Teman Traveler akan disuguhi banyak pertunjukan tari yang indah.",Wisata Budaya,Semarang,5000,4.6,10,"{'lat': -7.35820, 'lng': 110.42630}","-7,358,020","110,426,030",,25
26,Desa Wisata Budaya Kandri,"Desa Wisata Kandri disingkat Dewi Kandri, terletak di Kelurahan Kandri Kecamatan Gunungpati Kota Semarang, dibentuk berdasarkan Surat Keputusan Walikota Semarang Nomor  556/407 Tanggal 21 Desember 2012. Dengan cluster Desa Wisata Berbasis Daya Tarik Alam dan Daya Tarik Budaya. ",Wisata Budaya,Semarang,5000,4.4,10,"{'lat': -7.05414, 'lng': 110.35655}","-7,054,014","110,356,055",,26
27,Desa Wisata Budaya Lerep,"Desa Wisata Lerep terletak di lereng gunung Ungaran Kecamatan Ungaran Barat Kab. Semarang, suasana pegunungan dengan udara sejuk dan pemandangan yang indah. Desa Lerep ditetapkan sebagai Desa Wisata berdasarkan Surat Keputusan Bupati Semarang No 556/0431/ 2015 tahun 2015. ",Wisata Budaya,Semarang,20000,4.6,15,"{'lat': -7.13420, 'lng': 110.38183}","-7,134,020","110,381,083",,27
28,Klenteng Sam Poo Kong,Kelenteng Sam Poo Kong merupakan simbol akulturasi budaya China dengan adat Jawa.,Wisata Budaya,Semarang,10000,4.5,10,"{'lat': -6.99602, 'lng': 110.39796}","-6,996,002","110,397,096",,28
29,Candi Mendut,"Candi Mendut adalah sebuah candi bercorak Buddha. Candi yang terletak di Desa Mendut, Jalan Mayor Kusen Kota Mungkid, Kabupaten Magelang, Jawa Tengah ini, letaknya berada sekitar 3 kilometer dari Candi Borobudur.7°36?17.17?S 110°13?48.01?E",Wisata Sejarah,Magelang,10000,4.6,30,"{'lat': -7.60510, 'lng': 110.22960}","-7,605,010","110,229,060",,29
30,Candi Borobudur,"Candi Borobudur atau yang disingkat Borobudur adalah sebuah candi Buddha yang terletak di Borobudur, Magelang, Jawa Tengah, Indonesia. Candi ini terletak kurang lebih 100 km di sebelah barat daya Semarang, 86 km di sebelah barat Surakarta, dan 40 km di sebelah barat laut Yogyakarta.",Wisata Sejarah,Magelang,48000,4.7,30,"{'lat': -7.60767, 'lng': 110.20375}","-7,607,067","110,203,075",,30
31,Masjid Agung Jawa Tengah,"Masjid Agung Jawa Tengah adalah masjid yang terletak di Semarang, provinsi Jawa Tengah, Indonesia. Masjid ini mulai dibangun sejak tahun 2001 hingga selesai secara keseluruhan pada tahun 2006. Masjid ini berdiri di atas lahan 10 hektare.",Wisata Sejarah,Semarang,0,4.7,10,"{'lat': -6.98330, 'lng': 110.44509}","-6,983,030","110,445,009",,31
32,Lawang Sewu,"Lawang Sewu adalah bangunan perkantoran yang terletak di seberang Tugu Muda, Kota Semarang, Jawa Tengah, Indonesia, yang dibangun sebagai kantor pusat Nederlandsch-Indische Spoorweg Maatschappij",Wisata Sejarah,Semarang,20000,4.6,15,"{'lat': -6.98378, 'lng': 110.41044}","-6,983,078","110,410,044",,32
33,Kota Lama Semarang,"'Kota Lama Semarang (bahasa Jawa: ????????????, translit. Kutha Lama Semarang) adalah suatu kawasan di Semarang yang menjadi pusat perdagangan pada abad 19-20 . Pada masa itu, untuk mengamankan warga dan wilayahnya, kawasan itu dibangun benteng, yang dinamai benteng Vijfhoek. ",Wisata Sejarah,Semarang,0,4.7,15,"{'lat': -6.96796, 'lng': 110.42787}","-6,967,096","110,427,087",,33
34,Candi Prambanan,"Candi Prambanan atau Candi Roro Jonggrang adalah kompleks candi Hindu terbesar di Indonesia yang dibangun pada abad ke-9 masehi. Candi ini dipersembahkan untuk Trimurti, tiga dewa utama Hindu yaitu dewa Brahma sebagai dewa pencipta, dewa Wisnu sebagai dewa pemelihara, dan dewa Siwa sebagai dewa pemusnah.",Wisata Sejarah,Klaten,48000,4.7,45,"{'lat': -7.75181, 'lng': 110.49148}","-7,751,081","110,491,048",,34
